Place,Population,Region
Khouribga,326674.00,Chaouia-Ouardigha
Settat,323821.00,Chaouia-Ouardigha
Safi,415323.00,Doukkala-Abda
Fes,2112072.00,FŠs-Boulemane
Casablanca,3359818.00,Grand Casablanca
Marrakech,1528850.00,Marrakesh-Tensift-El Haouz
Meknes,835695.00,MeknŠs-Tafilalet
OUJDA ANGAD,410808.00,Oriental
Nador,369102.00,Oriental
Sale,920403.00,Rabat-Sal‚-K‚nitra
Rabat,777827.00,Rabat-Sal‚-K‚nitra
Kenitra,672700.00,Rabat-Sal‚-K‚nitra
Mechra Bel Ksiri,29601.00,Sidi Kacem
Inezgane Ait Melloul,385612.00,Souss-Massa-Drƒa
AGADIR IDA OU TANAN,384987.00,Souss-Massa-Drƒa
Beni Mellal,447330.00,Tadla-Azilal
TANGER ASSILAH,1747952.00,Tangier-Tetouan
Tetouan,463968.00,Tangier-Tetouan
Taza,250258.00,Taza-Al Hoceima-Taounate
