FID,FID_1,CODE_MECAN,RESEAU,COMMUNE,PROVINCE,NOM_REGION,ADRESSE,XX,XY,OBJECTID,ID,NAME,TOTPOP_CY
0,10,51500,CASA DERB SIDNA,MERS-SULTAN,CASABLANCA,CASABLANCA,2 Rue Moulay Rchid et Rue Mly Smail. Derb Soltan Derb Soltan 20504 CASABLANCA,-7.604000000000000,33.576999999999998,1,1001,Casablanca,3194449
1,27,50100,CASA AIN SEBAA,AIN-SEBAA,CASABLANCA,CASABLANCA,"7,3 KM Route de Rabat. Ain Sebaa 20253 CASABLANCA",-7.540000000000000,33.603999999999999,1,1001,Casablanca,3194449
2,33,54060,CASA OUM RABIAA,HAY-HASSANI,CASABLANCA,CASABLANCA,Aéroport Anfa Cité de l'air Hay Hassani  20036 CASABLANCA,-7.671000000000000,33.561000000000000,1,1001,Casablanca,3194449
3,58,52200,CASA TAKADOUM,HAY MOHAMMADI,CASABLANCA,CASABLANCA,Angle Avenue A et Avenue C Place de la mosquée. Hay Mohammadi Hay Mohammadi 20353 CASABLANCA,-7.567000000000000,33.587000000000003,1,1001,Casablanca,3194449
4,62,50000,CASA PPAL,SIDI BELYOUT,CASABLANCA,CASABLANCA,Angle Avenue Hassan II & Bd Paris Centre de Ville SIDI BELYOUT 20032 CASABLANCA,-7.619000000000000,33.593000000000004,1,1001,Casablanca,3194449
5,65,51700,CASA MAARIF,EL MAARIF,CASABLANCA,CASABLANCA,Angle Bd Bir Anzarane et Rue El Khalil Maarif 20104 CASABLANCA,-7.636000000000000,33.579999999999998,1,1001,Casablanca,3194449
6,66,55200,CASABLANCA GHANDI,EL MAARIF,CASABLANCA,CASABLANCA,Angle Bd Brahim Roudani et Bd Ghandi Maârif 20026 CASABLANCA,-7.644000000000000,33.570000000000000,1,1001,Casablanca,3194449
7,68,56700,CASA IBN TACHAFINE,HAY MOHAMMADI,CASABLANCA,CASABLANCA,ANGLE BD IBN TACHFINE                    20322 CASABLANCA,-7.572000000000000,33.585000000000001,1,1001,Casablanca,3194449
8,69,54500,CASA AIN BORJA,ASSOUKHOUR ASSAWDA,CASABLANCA,CASABLANCA,Angle Bd Ibn Tachfine et rue Rue Jean Louis Férre. Ain Borja 20302 CASABLANCA,-7.584000000000000,33.585000000000001,1,1001,Casablanca,3194449
9,73,51300,CASA BOURSE,SIDI BELYOUT,CASABLANCA,CASABLANCA,Angle Bd Mohamed V et Rue Chaouia ( Ex colder) Centre de Ville SIDI BELYOUT 20003,-7.613000000000000,33.594999999999999,1,1001,Casablanca,3194449
10,82,51900,CASA OASIS,EL MAARIF,CASABLANCA,CASABLANCA,Angle Place division Leclerc et Bd Abderrahim Bouabid. Oasis 20103 CASABLANCA,-7.634000000000000,33.557000000000002,1,1001,Casablanca,3194449
11,84,51800,CASA MERS SULTAN,SIDI BELYOUT,CASABLANCA,CASABLANCA,Angle rue Brugues et rue Suippes  Mers Sultan 20006 CASABLANCA,-7.614000000000000,33.584000000000003,1,1001,Casablanca,3194449
12,86,55500,CASABLANCA COMPLEXE MOHAMED V,EL MAARIF,CASABLANCA,CASABLANCA,Angle rue Ettabari et rue Ibn Al Assakir (Rue Sokrate) Maarif 20025 CASABLANCA,-7.646000000000000,33.579000000000001,1,1001,Casablanca,3194449
13,88,52600,CASA BANDOENG,SIDI BELYOUT,CASABLANCA,CASABLANCA,Angle Rue Ouled Ziane et Mohamed Diouri. Place Bandeong La Fayette 20002 CASABLANCA,-7.607000000000000,33.593000000000004,1,1001,Casablanca,3194449
